combo_id,model,label,turbo,flow_scale,h_pre,status,returncode,elapsed_seconds,new_engine_count,new_engines,stdout,stderr,removed_zero_engines
m46_4p6_t0_f1p0_h2160,46,4.6,0,1.0,2160,ok,0,0.888,0,,logs\m46_4p6_t0_f1p0_h2160.stdout.txt,logs\m46_4p6_t0_f1p0_h2160.stderr.txt,
m46_4p6_t0_f1p0_h1920,46,4.6,0,1.0,1920,ok,0,0.778,0,,logs\m46_4p6_t0_f1p0_h1920.stdout.txt,logs\m46_4p6_t0_f1p0_h1920.stderr.txt,
m46_4p6_t0_f1p0_h1608,46,4.6,0,1.0,1608,ok,0,0.682,0,,logs\m46_4p6_t0_f1p0_h1608.stdout.txt,logs\m46_4p6_t0_f1p0_h1608.stderr.txt,
m46_4p6_t0_f1p0_h1440,46,4.6,0,1.0,1440,ok,0,0.612,0,,logs\m46_4p6_t0_f1p0_h1440.stdout.txt,logs\m46_4p6_t0_f1p0_h1440.stderr.txt,
m46_4p6_t1_f1p0_h2160,46,4.6,1,1.0,2160,ok,0,0.714,0,,logs\m46_4p6_t1_f1p0_h2160.stdout.txt,logs\m46_4p6_t1_f1p0_h2160.stderr.txt,
m46_4p6_t1_f1p0_h1920,46,4.6,1,1.0,1920,ok,0,0.656,0,,logs\m46_4p6_t1_f1p0_h1920.stdout.txt,logs\m46_4p6_t1_f1p0_h1920.stderr.txt,
m46_4p6_t1_f1p0_h1608,46,4.6,1,1.0,1608,ok,0,0.617,0,,logs\m46_4p6_t1_f1p0_h1608.stdout.txt,logs\m46_4p6_t1_f1p0_h1608.stderr.txt,
m46_4p6_t1_f1p0_h1440,46,4.6,1,1.0,1440,ok,0,0.599,0,,logs\m46_4p6_t1_f1p0_h1440.stdout.txt,logs\m46_4p6_t1_f1p0_h1440.stderr.txt,
m46_4p6_t1_f0p5_h2160,46,4.6,1,0.5,2160,ok,0,81.273,1,rife/40ba6051.engine,logs\m46_4p6_t1_f0p5_h2160.stdout.txt,logs\m46_4p6_t1_f0p5_h2160.stderr.txt,
m46_4p6_t1_f0p5_h1920,46,4.6,1,0.5,1920,ok,0,0.786,0,,logs\m46_4p6_t1_f0p5_h1920.stdout.txt,logs\m46_4p6_t1_f0p5_h1920.stderr.txt,
m46_4p6_t1_f0p5_h1608,46,4.6,1,0.5,1608,ok,0,0.712,0,,logs\m46_4p6_t1_f0p5_h1608.stdout.txt,logs\m46_4p6_t1_f0p5_h1608.stderr.txt,
m46_4p6_t1_f0p5_h1440,46,4.6,1,0.5,1440,ok,0,0.66,0,,logs\m46_4p6_t1_f0p5_h1440.stdout.txt,logs\m46_4p6_t1_f0p5_h1440.stderr.txt,
m46_4p6_t1_f0p25_h2160,46,4.6,1,0.25,2160,ok,0,84.942,1,rife/c6a12b63.engine,logs\m46_4p6_t1_f0p25_h2160.stdout.txt,logs\m46_4p6_t1_f0p25_h2160.stderr.txt,
m46_4p6_t1_f0p25_h1920,46,4.6,1,0.25,1920,ok,0,0.757,0,,logs\m46_4p6_t1_f0p25_h1920.stdout.txt,logs\m46_4p6_t1_f0p25_h1920.stderr.txt,
m46_4p6_t1_f0p25_h1608,46,4.6,1,0.25,1608,ok,0,0.71,0,,logs\m46_4p6_t1_f0p25_h1608.stdout.txt,logs\m46_4p6_t1_f0p25_h1608.stderr.txt,
m46_4p6_t1_f0p25_h1440,46,4.6,1,0.25,1440,ok,0,0.678,0,,logs\m46_4p6_t1_f0p25_h1440.stdout.txt,logs\m46_4p6_t1_f0p25_h1440.stderr.txt,
m46_4p6_t2_f1p0_h2160,46,4.6,2,1.0,2160,ok,0,154.164,1,rife_v2/68381383.engine,logs\m46_4p6_t2_f1p0_h2160.stdout.txt,logs\m46_4p6_t2_f1p0_h2160.stderr.txt,
m46_4p6_t2_f1p0_h1920,46,4.6,2,1.0,1920,ok,0,136.836,1,rife_v2/f80e3905.engine,logs\m46_4p6_t2_f1p0_h1920.stdout.txt,logs\m46_4p6_t2_f1p0_h1920.stderr.txt,
m46_4p6_t2_f1p0_h1608,46,4.6,2,1.0,1608,ok,0,112.216,1,rife_v2/ad1da8b.engine,logs\m46_4p6_t2_f1p0_h1608.stdout.txt,logs\m46_4p6_t2_f1p0_h1608.stderr.txt,
m46_4p6_t2_f1p0_h1440,46,4.6,2,1.0,1440,ok,0,100.091,1,rife_v2/d61f910c.engine,logs\m46_4p6_t2_f1p0_h1440.stdout.txt,logs\m46_4p6_t2_f1p0_h1440.stderr.txt,
m46_4p6_t2_f0p5_h2160,46,4.6,2,0.5,2160,failed,1,0.191,0,,logs\m46_4p6_t2_f0p5_h2160.stdout.txt,logs\m46_4p6_t2_f0p5_h2160.stderr.txt,
